n	ch1	ch2
22.18	-0.00312	0.4
22.19	-0.00312	0.4
22.2	-0.00312	0.4
22.21	-0.00312	0.4
22.22	-0.00312	0.4
22.23	-0.00312	0.4
22.24	-0.00312	0.4
22.25	-0.00312	0.4
22.26	-0.00312	0.4
22.27	-0.00312	0.4
22.28	-0.00312	0.4
22.29	-0.00312	0.4
22.3	-0.00312	0.4
22.31	-0.00312	0.4
22.32	-0.00312	0.4
22.33	-0.00312	0.4
22.34	-0.00312	0.4
22.35	-0.00312	0.4
22.36	-0.00312	0.4
22.37	-0.00312	0.4
22.38	-0.00312	0.4
22.39	-0.00312	0.4
22.4	-0.00312	0.4
22.41	-0.00312	0.4
22.42	-0.00312	0.4
22.43	-0.00312	0.4
22.44	-0.00312	0.4
22.45	-0.00312	0.4
22.46	-0.00312	0.4
22.47	-0.00312	0.4
22.48	-0.00312	0.4
22.49	-0.00312	0.4
22.5	-0.00312	0.4
22.51	-0.00312	0.4
22.52	-0.00312	0.4
22.53	-0.00312	0.4
22.54	-0.00312	0.4
22.55	-0.00312	0.4
22.56	-0.00312	0.4
22.57	-0.00312	0.4
22.58	-0.00312	0.4
22.59	-0.00312	0.4
22.6	-0.00312	0.4
22.61	-0.00312	0.4
22.62	-0.00312	0.4
22.63	-0.00312	0.4
22.64	-0.00312	0.4
22.65	-0.00312	0.4
22.66	-0.00312	0.4
22.67	-0.00312	0.4
22.68	-0.00312	0.4
22.69	-0.00312	0.4
22.7	-0.00312	0.4
22.71	-0.00312	0.4
22.72	-0.00312	0.4
22.73	-0.00312	0.4
22.74	-0.00312	0.4
22.75	-0.00312	0.4
22.76	-0.00312	0.4
22.77	-0.00312	0.4
22.78	-0.00312	0.4
22.79	-0.00312	0.4
22.8	-0.00312	0.4
22.81	-0.00312	0.4
22.82	-0.00312	0.4
22.83	-0.00312	0.4
22.84	-0.00312	0.4
22.85	-0.00312	0.4
22.86	-0.00312	0.4
22.87	-0.00312	0.4
22.88	-0.00312	0.4
22.89	-0.00312	0.4
22.9	-0.00312	0.4
22.91	-0.00312	0.4
22.92	-0.00312	0.4
22.93	-0.00312	0.4
22.94	-0.00312	0.4
22.95	-0.00312	0.4
22.96	-0.00312	0.4
22.97	-0.00312	0.4
22.98	-0.00312	0.4
22.99	-0.00312	0.4
23	-0.00312	0.4
23.01	-0.00312	0.4
23.02	-0.00312	0.4
23.03	-0.00312	0.4
23.04	-0.00312	0.4
23.05	-0.00312	0.4
23.06	-0.00312	0.4
23.07	-0.00312	0.4
23.08	-0.00312	0.4
23.09	-0.00312	0.4
23.1	-0.00312	0.4
23.11	-0.00312	0.4
23.12	-0.00312	0.4
23.13	-0.00312	0.4
23.14	-0.00312	0.4
23.15	-0.00312	0.4
23.16	-0.00312	0.4
23.17	-0.00312	0.4
23.18	-0.00312	0.4
23.19	-0.00312	0.4
23.2	-0.00312	0.4
23.21	-0.00312	0.4
23.22	-0.00312	0.4
23.23	-0.00312	0.4
23.24	-0.00312	0.4
23.25	-0.00312	0.4
23.26	-0.00312	0.4
23.27	-0.00312	0.4
23.28	-0.00312	0.4
23.29	-0.00312	0.4
23.3	-0.00312	0.4
23.31	-0.00312	0.4
23.32	-0.00312	0.4
23.33	-0.00312	0.4
23.34	-0.00312	0.4
23.35	-0.00312	0.4
23.36	-0.00312	0.4
23.37	-0.00312	0.4
23.38	-0.00312	0.4
23.39	-0.00312	0.4
23.4	-0.00312	0.4
23.41	-0.00312	0.4
23.42	-0.00312	0.4
23.43	-0.00312	0.4
23.44	-0.00312	0.4
23.45	-0.00312	0.4
23.46	-0.00312	0.4
23.47	-0.00312	0.4
23.48	-0.00312	0.4
23.49	-0.00312	0.4
23.5	-0.00312	0.4
23.51	-0.00312	0.4
23.52	-0.00312	0.4
23.53	-0.00312	0.4
23.54	-0.00312	0.4
23.55	-0.00312	0.4
23.56	-0.00312	0.4
23.57	-0.00312	0.4
23.58	-0.00312	0.4
23.59	-0.00312	0.4
23.6	-0.00312	0.4
23.61	-0.00312	0.4
23.62	-0.00312	0.4
23.63	-0.00312	0.4
23.64	-0.00312	0.4
23.65	-0.00312	0.4
23.66	-0.00312	0.4
23.67	-0.00312	0.4
23.68	-0.00312	0.4
23.69	-0.00312	0.4
23.7	-0.00312	0.4
23.71	-0.00312	0.4
23.72	-0.00312	0.4
23.73	-0.00312	0.4
23.74	-0.00312	0.4
23.75	-0.00312	0.4
23.76	-0.00312	0.4
23.77	-0.00312	0.4
23.78	-0.00312	0.4
23.79	-0.00312	0.4
23.8	-0.00312	0.4
23.81	-0.00312	0.4
23.82	-0.00312	0.4
23.83	-0.00312	0.4
23.84	-0.00312	0.4
23.85	-0.00312	0.4
23.86	-0.00312	0.4
23.87	-0.00312	0.4
23.88	-0.00312	0.4
23.89	-0.00312	0.4
23.9	-0.00312	0.4
23.91	-0.00312	0.4
23.92	-0.00312	0.4
23.93	-0.00312	0.4
23.94	-0.00312	0.4
23.95	-0.00312	0.4
23.96	-0.00312	0.4
23.97	-0.00312	0.4
23.98	-0.00312	0.4
23.99	-0.00312	0.4
24	-0.00312	0.4
24.01	-0.00312	0.4
24.02	-0.00312	0.4
24.03	-0.00312	0.4
24.04	-0.00312	0.4
24.05	-0.00312	0.4
24.06	-0.00312	0.4
24.07	-0.00312	0.4
24.08	-0.00312	0.4
24.09	-0.00312	0.4
24.1	-0.00312	0.4
24.11	-0.00312	0.4
24.12	0.01048	76
24.13	0.01024	76
24.14	0.00992	76.4
24.15	0.01056	75.2
24.16	0.01056	76.8
24.17	0.01104	76
24.18	0.01096	76.8
24.19	0.01072	74.8
24.2	0.01104	76.8
24.21	0.01024	76.4
24.22	0.01104	76.4
24.23	0.01008	75.6
24.24	0.0108	76.4
24.25	0.01064	76.4
24.26	0.01032	76.8
24.27	0.01024	74.8
24.28	0.01056	76.8
24.29	0.01096	75.2
24.3	0.0108	76.8
24.31	0.01032	75.2
24.32	0.01024	74.8
24.33	0.01064	74.8
24.34	0.01064	75.2
24.35	0.01008	74
24.36	0.01104	74.8
24.37	0.0108	75.2
24.38	0.01136	74.4
24.39	0.01072	74
24.4	0.0108	75.2
24.41	0.01072	74.4
24.42	0.01104	74.4
24.43	0.01048	74
24.44	0.01112	75.2
24.45	0.00992	74.4
24.46	0.01096	74
24.47	0.0104	74
24.48	0.01056	73.6
24.49	0.01048	74
24.5	0.01096	73.6
24.51	0.01008	73.6
24.52	0.0108	73.6
24.53	0.01048	74
24.54	0.01072	73.6
24.55	0.0108	73.6
24.56	0.01024	73.6
24.57	0.01024	74
24.58	0.01048	73.2
24.59	0.01008	74
24.6	0.01048	73.6
24.61	0.01064	74
24.62	0.01072	73.6
24.63	0.01008	73.6
24.64	0.0108	73.6
24.65	0.01056	74
24.66	0.01072	73.6
24.67	0.0108	73.6
24.68	0.0108	73.2
24.69	0.01048	73.6
24.7	0.01104	73.2
24.71	0.01032	73.6
24.72	0.01048	73.6
24.73	0.01008	73.6
24.74	0.01048	73.2
24.75	0.01048	73.2
24.76	0.01024	73.2
24.77	0.01048	73.6
24.78	0.01112	73.2
24.79	0.0108	73.6
24.8	0.01032	73.6
24.81	0.01048	73.2
24.82	0.01032	73.6
24.83	0.01064	73.6
24.84	0.01032	73.2
24.85	0.01	73.2
24.86	0.01112	73.6
24.87	0.01048	73.6
24.88	0.0108	73.6
24.89	0.01016	73.6
24.9	0.0108	73.6
24.91	0.01032	73.6
24.92	0.01096	73.6
24.93	0.01	73.6
24.94	0.01016	73.6
24.95	0.01032	73.6
24.96	0.01088	73.6
24.97	0.01128	73.6
24.98	0.01048	73.6
24.99	0.01016	73.6
