p	I1 / %
685	50.4
686	53.5
687	54.7
688	54.2
689	52.4
690	49.8
691	47.2
692	44.8
693	43.2
694	41.9
695	41.5
696	41.9
697	43.0
698	44.2
699	45.0
700	44.8
701	43.4
702	41.3
703	38.9
704	36.5
705	34.4
706	32.6
707	31.3
708	30.4
709	30.0
710	30.1
711	31.0
712	32.5
713	34.4
714	36.3
715	37.7
716	38.5
717	38.9
718	38.9
719	38.5
720	37.9
721	37.3
722	36.9
723	36.9
724	37.3
725	38.6
726	40.7
727	44.2
728	48.5
729	52.5
730	55.4
731	56.8
732	56.7
733	55.5
734	53.6
735	51.3
736	49.1
737	47.1
738	45.5
739	44.3
740	43.6
741	43.7
742	44.2
743	45.2
744	46.2
745	46.9
746	46.8
747	45.7
748	43.8
749	41.6
750	39.2
751	37.2
752	35.2
753	33.5
754	31.9
755	30.8
756	29.9
757	29.5
758	29.5
759	30.1
760	31.3
761	32.9
762	34.4
763	36.0
764	37.5
765	38.6
766	39.4
767	39.7
768	39.7
769	39.6
770	39.4
771	39.1
772	38.8
773	38.5
774	38.3
775	38.4
776	39.1
777	40.7
778	43.5
779	47.0
780	50.9
781	54.5
782	57.1
783	58.8
784	59.2
785	58.5
786	56.9
787	54.9
788	52.3
789	49.0
790	45.4
791	42.7
792	41.0
793	39.8
794	38.9
795	38.4
796	37.6
797	37.6
798	38.8
799	41.3
800	44.0
801	45.6
802	46.1
803	45.7
804	44.4
805	42.8
806	41.0
807	39.1
808	37.5
809	35.8
810	34.3
811	33.1
812	32.1
813	31.4
814	30.7
815	30.3
816	30.2
817	30.3
818	30.7
819	31.5
820	32.5
821	33.8
822	35.1
823	36.5
824	37.7
825	39.0
826	39.8
827	40.4
828	40.7
829	40.9
830	40.9
831	40.9
832	40.9
833	40.8
834	40.5
835	40.1
836	39.8
837	39.6
838	39.3
839	39.3
840	39.7
841	40.5
842	41.8
843	43.7
844	46.1
845	48.6
846	51.2
847	54.1
848	56.8
849	59.1
850	60.4
851	60.1
852	58.6
853	56.7
854	54.7
855	53.0
856	51.3
857	49.8
858	48.6
859	47.5
860	46.6
861	46.0
862	45.5
863	45.2
864	45.2
865	45.1
866	44.7
867	44.0
868	43.4
869	43.2
870	43.3
871	43.9
872	44.6
873	45.3
874	45.9
875	46.7
876	47.4
877	47.8
878	47.7
879	47.3
880	46.5
881	45.6
882	44.4
883	43.1
884	41.5
885	40.2
886	38.9
887	37.6
888	36.5
889	35.3
890	34.2
891	33.4
892	32.6
893	32.1
894	31.6
895	31.1
896	30.5
897	30.1
898	29.8
899	29.8
900	29.7
901	29.7
902	29.8
903	30.0
904	30.3
905	30.8
906	31.3
907	32.1
908	32.9
909	33.9
910	34.8
911	35.8
912	36.6
913	37.4
914	38.2
915	39.0
916	39.7
917	40.3
918	40.7
919	41.1
920	41.4
921	41.7
922	41.9
923	42.1
924	42.1
925	42.2
926	42.2
927	42.2
928	42.2
929	42.2
930	42.1
931	42.0
932	41.9
933	41.8
934	41.5
935	41.3
936	41.0
937	40.7
938	40.4
939	40.1
940	39.9
941	39.6
942	39.2
943	39.0
944	38.8
945	38.8
946	38.8
947	38.9
948	39.2
949	39.5
950	39.8
951	40.3
952	41.0
953	41.8
954	42.7
955	43.8
956	44.9
957	46.1
958	47.4
959	48.8
960	50.3
961	51.8
962	53.2
963	54.7
964	56.0
965	57.3
966	58.6
967	59.7
968	60.5
969	61.4
970	62.0
971	62.5
972	62.9
973	63.4
974	63.9
975	64.3
976	64.5
977	64.8
978	64.8
979	64.8
980	64.7
981	64.5
982	64.5
983	64.4
984	64.2
985	64.0
986	63.6
987	63.3
988	63.1
989	62.9
990	62.7
991	62.4
992	62.1
993	61.7
994	61.4
995	61.3
996	61.1
997	60.9
998	60.6
999	60.5
1000	60.3
1001	60.2
1002	60.0
1003	59.8
1004	59.5
1005	59.2
1006	59.0
1007	58.9
1008	58.6
1009	58.6
1010	58.4
1011	58.2
1012	58.1
1013	58.1
1014	58.0
1015	57.9
1016	57.9
1017	57.9
1018	57.9
1019	57.9
1020	57.9
1021	58.0
1022	58.0
1023	58.0
1024	58.1
1025	58.1
1026	58.0
1027	57.9
1028	57.7
1029	57.6
1030	57.6
1031	57.5
1032	57.6
1033	57.7
1034	57.7
1035	57.7
1036	57.9
1037	58.3
1038	58.6
1039	58.8
1040	59.2
1041	59.2
1042	59.2
1043	59.2
1044	59.1
1045	59.5
1046	59.8
1047	60.1
1048	60.5
1049	61.0
1050	61.5
1051	61.9
1052	62.2
1053	62.5
1054	62.4
1055	62.4
1056	62.4
1057	62.5
1058	62.7
1059	63.0
1060	63.3
1061	63.7
1062	63.9
1063	64.1
1064	64.3
1065	64.5
1066	64.5
1067	64.5
1068	64.2
1069	63.9
1070	63.5
1071	63.5
1072	62.8
1073	61.7
1074	60.6
1075	59.8
1076	59.5
1077	59.7
1078	59.6
1079	59.2
1080	58.5
1081	57.5
1082	56.5
1083	55.6
1084	54.6
1085	53.3
1086	52.0
1087	50.6
1088	49.1
1089	47.6
1090	46.3
1091	44.9
1092	43.7
1093	42.5
1094	41.4
1095	40.5
1096	39.7
1097	39.1
1098	38.6
1099	38.2
1100	37.9
1101	37.8
1102	37.8
1103	37.9
1104	37.9
1105	38.2
1106	38.5
1107	38.8
1108	39.2
1109	39.6
1110	39.8
1111	40.2
1112	40.5
1113	40.8
1114	40.9
1115	40.9
1116	41.0
1117	41.1
1118	41.1
1119	41.2
1120	41.2
1121	41.2
1122	41.1
1123	41.1
1124	40.9
1125	40.7
1126	40.4
1127	40.0
1128	39.5
1129	39.1
1130	38.6
1131	38.1
1132	37.3
1133	36.5
1134	35.7
1135	34.7
1136	33.7
1137	32.8
1138	31.7
1139	30.7
1140	29.8
1141	29.0
1142	28.3
1143	27.8
1144	27.4
1145	27.2
1146	27.0
1147	27.0
1148	27.2
1149	27.6
1150	28.1
1151	28.5
1152	29.0
1153	29.4
1154	30.1
1155	30.9
1156	31.7
1157	32.6
1158	33.5
1159	34.6
1160	35.6
1161	36.8
1162	38.0
1163	39.2
1164	40.3
