n	a	da	b	db	c	dc	order	m	s	ds	I	alpha	dalpha	mittelalpha	korrektur	gang	dgang	gang0	dgang0	lambda0	gang-	dgang-	gang+	dgang+	deltagang-	ddeltagang-	deltagang+	ddeltagang+	deltalambda-	ddeltalambda-	deltalambda+	ddeltalambda+	deltaE-	ddeltaE-	deltaE+	ddeltaE+	a	b	c	B	dB	B2
36	58.0811	0.452129	1063.81	0.803813	40.3066	1.21994	1	0	34.23327408	1.036121637	6.9	-0.0037156	7.50225E-05	0.000128903	-0.003844503	0.011655959	1.58367E-09	0.011655959	1.58367E-09	6.43798E-07	#	#	0.011655743	1.89725E-09	#WERT!	#WERT!	-2.16757E-07	2.47135E-09	#WERT!	#WERT!	-1.19722E-11	-1.41435E-13	#WERT!	#WERT!	-5.73786E-24	-6.54203E-26	-6.56844	139.1183333	-74.85693333	0.5700575	0.089229204	0.572336138
37	26.2347	0.853151	1126.35	0.382387	15.8202	0.578162	1	1	13.43644074	0.491045591	6.9	-0.009552667	3.56895E-05	0.000128903	-0.009681569	0.011655743	1.89725E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.56844	139.1183333	-74.85693333	0.5700575	0.089229204	0.572336138
38	38.5257	0.315227	1170.26	0.415746	18.6162	0.822253	2	-1	15.8111445	0.698357398	6.9	-0.013650933	3.8803E-05	0.000128903	-0.013779836	0.011655479	2.93602E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.56844	139.1183333	-74.85693333	0.5700575	0.089229204	0.572336138
39	38.9209	2.09986	1194.88	0.225543	8.315	0.314498	2	0	7.062110769	0.267110008	6.9	-0.0159488	2.10507E-05	0.000128903	-0.016077703	0.01165529	1.85843E-09	0.01165529	1.85843E-09	6.43761E-07	0.011655479	2.93602E-09	0.011655092	3.44277E-09	1.88366E-07	3.47476E-09	-1.9881E-07	3.91234E-09	1.04041E-11	1.94602E-13	-1.0981E-11	-2.18745E-13	4.9866E-24	9.19873E-26	-5.26309E-24	-1.03571E-25	-6.56844	139.1183333	-74.85693333	0.5700575	0.089229204	0.572336138
40	35.0754	0.366594	1217.52	0.36928	13.8596	0.655173	2	1	11.77126042	0.556452712	6.9	-0.018061867	3.44661E-05	0.000128903	-0.018190769	0.011655092	3.44277E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.56844	139.1183333	-74.85693333	0.5700575	0.089229204	0.572336138
41	38.302	0.708121	828.184	0.56175	17.9168	1.01047	-2	-1	15.21712883	0.8582142	7.2	0.01827616	0.00005243	0.00011396	0.0181622	0.011655094	5.22893E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
42	26.0178	1.5707	850.905	0.200594	6.65473	0.324783	-2	0	5.652007264	0.275845282	7.2	0.016155533	1.87221E-05	0.00011396	0.016041573	0.011655294	1.64914E-09	0.011655294	1.64914E-09	6.43761E-07	0.011655094	5.22893E-09	0.011655472	3.45904E-09	-1.99145E-07	5.48282E-09	1.78251E-07	3.83205E-09	-1.09994E-11	-3.0474E-13	9.8454E-12	2.13837E-13	-5.27195E-24	-1.45147E-25	4.71883E-24	1.01446E-25	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
43	45.8882	0.375954	874.16	0.486584	21.5374	1.00632	-2	1	18.29218334	0.854689514	7.2	0.013985067	4.54145E-05	0.00011396	0.013871107	0.011655472	3.45904E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
44	30.1839	1.03816	920.77	0.427836	16.4047	0.588453	-1	-1	13.93286934	0.499785961	7.2	0.0096348	3.99314E-05	0.00011396	0.00952084	0.011655751	2.08751E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
45	61.1654	0.712664	981.081	0.817231	37.7848	1.16309	-1	0	32.09145436	0.987837693	7.2	0.004005773	7.62749E-05	0.00011396	0.003891813	0.011655958	1.62992E-09	0.011655958	1.62992E-09	6.43798E-07	0.011655751	2.08751E-09	#	#	-2.07278E-07	2.64846E-09	#WERT!	#WERT!	-1.14487E-11	-1.50508E-13	#WERT!	#WERT!	-5.48696E-24	-7.01086E-26	#WERT!	#WERT!	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
