n	a	da	b	db	c	dc	order	m	s	ds	I	alpha	dalpha	gang	dgang	gang0	dgang0	lambda0	gang-	dgang-	gang+	dgang+	deltagang-	ddeltagang-	deltagang+	ddeltagang+	deltalambda-	ddeltalambda-	deltalambda+	ddeltalambda+	deltaE-	ddeltaE-	deltaE+	ddeltaE+	a	b	c	B	dB	B2
38	38.5257	0.315227	1170.26	0.415746	18.6162	0.822253	2	-1	15.8111445	0.698357398	6.9	-0.013650933	3.8803E-05	0.011655488	2.90855E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.56844	139.1183333	-74.85693333	0.5700575	0.089229204	0.572336138
39	38.9209	2.09986	1194.88	0.225543	8.315	0.314498	2	0	7.062110769	0.267110008	6.9	-0.0159488	2.10507E-05	0.011655302	1.84353E-09	0.011655302	1.84353E-09	6.43761E-07	0.011655488	2.90855E-09	0.011655104	3.41837E-09	1.86739E-07	3.44359E-09	-1.97314E-07	3.88379E-09	1.03142E-11	1.92858E-13	-1.08983E-11	-2.17147E-13	4.94354E-24	9.11618E-26	-5.22349E-24	-1.02815E-25	-6.56844	139.1183333	-74.85693333	0.5700575	0.089229204	0.572336138
40	35.0754	0.366594	1217.52	0.36928	13.8596	0.655173	2	1	11.77126042	0.556452712	6.9	-0.018061867	3.44661E-05	0.011655104	3.41837E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.56844	139.1183333	-74.85693333	0.5700575	0.089229204	0.572336138
41	38.302	0.708121	828.184	0.56175	17.9168	1.01047	-2	-1	15.21712883	0.8582142	7.2	0.01827616	0.00005243	0.011655083	5.26174E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
42	26.0178	1.5707	850.905	0.200594	6.65473	0.324783	-2	0	5.652007264	0.275845282	7.2	0.016155533	1.87221E-05	0.011655283	1.66086E-09	0.011655283	1.66086E-09	6.4376E-07	0.011655083	5.26174E-09	0.011655463	3.48746E-09	-2.00472E-07	5.51764E-09	1.79609E-07	3.86275E-09	-1.10727E-11	-3.06676E-13	9.92042E-12	2.15548E-13	-5.30709E-24	-1.46068E-25	4.75479E-24	1.02259E-25	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
43	45.8882	0.375954	874.16	0.486584	21.5374	1.00632	-2	1	18.29218334	0.854689514	7.2	0.013985067	4.54145E-05	0.011655463	3.48746E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
44	30.1839	1.03816	920.77	0.427836	16.4047	0.588453	-1	-1	13.93286934	0.499785961	7.2	0.0096348	3.99314E-05	0.011655745	2.1125E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
45	61.1654	0.712664	981.081	0.817231	37.7848	1.16309	-1	0	32.09145436	0.987837693	7.2	0.004005773	7.62749E-05	0.011655956	1.67764E-09	0.011655956	1.67764E-09	6.43798E-07	0.011655745	2.1125E-09	#	#	-2.10801E-07	2.69762E-09	#WERT!	#WERT!	-1.16432E-11	-1.53289E-13	#WERT!	#WERT!	-5.5802E-24	-7.14099E-26	#WERT!	#WERT!	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
46	61.7975	0.55241	1063.86	0.849066	39.8722	1.2624	1	0	33.86432869	1.072183841	7.2	-0.003720267	7.92462E-05	0.011655962	1.61877E-09	0.011655962	1.61877E-09	6.43798E-07	#	#	0.011655746	1.95551E-09	#WERT!	#WERT!	-2.16067E-07	2.53859E-09	#WERT!	#WERT!	-1.19341E-11	-1.44992E-13	#WERT!	#WERT!	-5.71961E-24	-6.72E-26	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
47	29.2271	0.917013	1127.07	0.396656	16.5369	0.621107	1	1	14.04514968	0.527519715	7.2	-0.009619867	3.70212E-05	0.011655746	1.95551E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
48	41.2495	0.32468	1169.45	0.356187	17.4137	0.764128	2	-1	14.78983503	0.648990569	7.2	-0.013575333	3.32441E-05	0.011655494	2.47808E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
49	44	2.23267	1194.55	0.22516	8.58863	0.310972	2	0	7.294510694	0.264115299	7.2	-0.015918	2.10149E-05	0.011655304	1.83685E-09	0.011655304	1.83685E-09	6.43762E-07	0.011655494	2.47808E-09	0.011655102	3.59459E-09	1.89696E-07	3.08462E-09	-2.02232E-07	4.03672E-09	1.04775E-11	1.73429E-13	-1.117E-11	-2.25623E-13	5.0218E-24	8.16589E-26	-5.35368E-24	-1.06864E-25	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
50	37.9037	0.358754	1217.76	0.387836	14.1891	0.706601	2	1	12.05111196	0.600131633	7.2	-0.018084267	3.6198E-05	0.011655102	3.59459E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.693146667	141.3404444	-85.95577778	0.58424	0.09228637	0.584722699
51	41.2826	0.680767	828.008	0.545552	18.0905	1.05555	-2	-1	15.36465603	0.896501626	7.5	0.018292587	5.09182E-05	0.011655081	5.11461E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
52	28.3209	1.87001	851.149	0.214097	7.006	0.348786	-2	0	5.950348533	0.296231553	7.5	0.01613276	1.99824E-05	0.011655285	1.77016E-09	0.011655285	1.77016E-09	6.43761E-07	0.011655081	5.11461E-09	0.011655467	3.30247E-09	-2.0414E-07	5.41228E-09	1.81904E-07	3.74697E-09	-1.12753E-11	-3.00966E-13	1.00471E-11	2.09278E-13	-5.40419E-24	-1.43279E-25	4.81553E-24	9.91934E-26	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
53	48.3495	0.395294	874.763	0.462635	21.1435	1.05116	-2	1	17.95763548	0.892773104	7.5	0.013928787	4.31793E-05	0.011655467	3.30247E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
54	32.5046	1.17099	920.533	0.467175	-16.7063	0.631758	-1	-1	14.18902479	0.536565842	7.5	0.00965692	0.000043603	0.011655744	2.31204E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
55	64.4808	0.808608	981.499	0.884953	37.9811	1.24411	-1	0	32.25817623	1.056649745	7.5	0.00396676	8.25956E-05	0.011655957	1.79897E-09	0.011655957	1.79897E-09	6.43798E-07	0.011655744	2.31204E-09	#	#	-2.12826E-07	2.92948E-09	#WERT!	#WERT!	-1.17551E-11	-1.6584E-13	#WERT!	#WERT!	-5.63382E-24	-7.75475E-26	#WERT!	#WERT!	-6.817853333	143.5625556	-97.05462222	0.5972075	0.095431965	0.596160294
